# FINAL TIMESERIES OF HAT-P-32 b,,,,,
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2458107.57,-0.06685364042,0.9990109388,0.005908767999,1,1.017638535
2458107.572,-0.06605111069,0.9979205592,0.005908800915,1,1.018126477
2458107.574,-0.06508188698,1.001513935,0.005908839291,1,1.018695636
2458107.576,-0.06411343822,0.9931332304,0.00590887626,1,1.019244239
2458107.578,-0.0631451833,0.9983934697,0.005908912181,1,1.019777558
2458107.58,-0.06217633104,0.9911212753,0.00590894693,1,1.02029374
2458107.582,-0.06120773694,0.9991364718,0.005908980543,1,1.0207933
2458107.584,-0.06023928276,0.9934010962,0.005909012985,1,1.021275675
2458107.586,-0.05926537062,1.000179595,0.005909044502,1,1.021744522
2458107.588,-0.05829666889,0.995205838,0.005909074642,1,1.022193088
2458107.59,-0.05732828488,1.005479585,0.005909103793,1,1.022627106
2458107.592,-0.05635992254,1.003455803,0.005909131789,1,1.023044113
2458107.595,-0.05539154373,1.000820595,0.005909158738,1,1.023445664
2458107.597,-0.05442315453,0.9893693678,0.005909184612,1,1.023831363
2458107.599,-0.05345493729,0.9880001006,0.005909209452,1,1.02420178
2458107.601,-0.05248667198,0.9979269872,0.00590923312,1,1.024554831
2458107.603,-0.05151860007,0.9959321332,0.00590925595,1,1.024895507
2458107.605,-0.050544984,0.989566623,0.005909277857,1,1.025222518
2458107.607,-0.04957689066,1.002194588,0.005909298601,1,1.025532258
2458107.609,-0.04860860888,1.002278525,0.005909318393,1,1.025827868
2458107.611,-0.04764012286,0.9999741888,0.005909337218,1,1.026109114
2458107.613,-0.04667103928,0.9969020808,0.005909355013,1,1.026375039
2458107.615,-0.04570245082,1.006251138,0.005909371872,1,1.026627041
2458107.617,-0.04473377616,1.004184369,0.005909387784,1,1.026864953
2458107.619,-0.04376524163,1.001913082,0.005909402742,1,1.02708864
2458107.622,-0.04279706251,1.003082007,0.005909416691,1,1.027297286
2458107.624,-0.04182908786,1.000406035,0.005909429768,1,1.027492924
2458107.626,-0.04086095704,0.9974405788,0.005909441963,1,1.027675401
2458107.628,-0.03988742154,1.002064086,0.005909453223,1,1.02784391
2458107.63,-0.03891886557,1.001860952,0.005909463541,1,1.027998357
2458107.632,-0.03795048199,1.010748346,0.005909472955,1,1.028139295
2458107.634,-0.03698207135,1.005004454,0.005909481415,1,1.02826595
2458107.636,-0.03601349372,1.000208422,0.005909488996,1,1.028379469
2458107.638,-0.03504472246,1.015646161,0.005909495687,1,1.028479665
2458107.64,-0.03407646255,1.003643537,0.005909501432,1,1.028565708
2458107.642,-0.03310805169,0.9953397969,0.00590950634,1,1.02863922
2458107.644,-0.03213990507,1.009576886,0.005909510309,1,1.028698675
2458107.647,-0.03117160206,0.9981820303,0.005909513399,1,1.028744965
2458107.649,-0.0301975825,0.9989518468,0.005909515625,0.999938587,1.028778305
2458107.651,-0.02922970487,1.002309003,0.005909516915,0.9989233238,1.02879764
2458107.653,-0.02826091758,1.005526784,0.005909517358,0.9971288585,1.028804276
2458107.655,-0.02729293773,1.000639275,0.005909516875,0.994776831,1.028797037
2458107.657,-0.02632427952,0.9919697377,0.005909515544,0.9920083983,1.028777095
2458107.659,-0.02535538459,0.9867738139,0.005909513277,0.9889571731,1.028743143
2458107.661,-0.02438734539,0.9829422646,0.005909510146,0.9857726756,1.028696232
2458107.663,-0.02341873051,0.9804268347,0.005909506134,0.982632174,1.028636144
2458107.665,-0.02245078292,0.9717272999,0.005909501183,0.9798169094,1.028561984
2458107.667,-0.02147764616,0.9755057577,0.005909495352,0.9780090358,1.02847465
2458107.669,-0.02050963945,0.9821062764,0.005909488615,0.9768679878,1.028373763
