# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
423.953822 285.966162 1058.120658 1.304172 0.738719 0.433340 370.350514
423.954087 291.973213 1737.796698 0.791033 0.717134 -0.785398 365.750201
423.947190 292.963257 1642.643165 0.826648 0.737395 0.785398 363.578057
421.956454 290.970830 1371.853777 1.028352 0.689893 0.332834 361.852306
419.956361 293.961144 1495.498390 0.904317 0.730770 0.531616 361.206450
418.960023 296.961925 1478.015125 0.897900 0.750574 0.369766 360.689130
419.943134 294.963658 1695.759103 0.872144 0.674061 0.417795 360.099706
418.952534 298.966968 1617.476929 0.907068 0.677666 -0.431821 359.808616
416.957198 298.968864 1345.279941 1.103699 0.646143 0.152837 359.547494
415.962457 300.963320 1489.267525 0.920795 0.733807 0.483243 360.150155
414.967135 301.969168 2017.123175 0.763606 0.639919 -0.532206 359.480984
411.952285 299.960491 1488.721439 1.041445 0.658394 0.299481 359.184626
408.957834 307.958731 2197.342157 0.606534 0.720700 0.398274 360.167982
413.943851 307.966786 1266.340121 1.187075 0.659564 0.316930 359.070244
411.954602 308.971395 1283.078536 0.950367 0.812234 0.391047 358.936450
409.960887 311.967183 1910.464400 0.802296 0.640252 -0.454948 359.157567
405.965612 309.966378 1612.057914 0.844591 0.724155 0.647498 358.975175
404.943974 304.960632 1385.581293 1.026000 0.704129 0.233211 359.088679
403.948381 311.971866 1573.688873 0.954858 0.669931 0.192047 358.477519
399.949713 313.958073 1924.547078 0.766736 0.650731 0.142638 359.300268
401.946673 317.967647 1707.661094 0.818314 0.716399 -0.785398 358.739936
398.958668 316.970785 1718.245212 0.802701 0.713639 0.608625 357.765644
399.955463 317.970227 1503.693972 1.078072 0.616858 -0.132204 357.482728
397.945324 319.963816 1419.185479 1.055092 0.668970 0.201942 357.698693
395.946298 321.969035 2109.792295 0.732167 0.630538 0.465942 357.437986
392.951919 316.961874 2016.503730 0.785537 0.619590 0.029029 357.561488
389.953779 318.970409 2246.554656 0.644349 0.678493 -0.304527 356.871372
384.954787 321.956177 1252.815190 1.206100 0.645160 0.242283 357.263744
386.948378 324.976033 1875.533638 0.855136 0.622668 0.166510 356.092477
383.942706 319.971888 1822.698328 0.769341 0.716895 0.456973 356.105145
379.949412 320.958255 2049.506119 0.715762 0.664825 -0.214516 356.559150
