BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass,x_centroid,y_centroid,amplitude,sigma_x,sigma_y,rotation,offset
2458107.57,-0.06685364042,0.9990109388,0.005908767999,1,1.017638535,423.953822,285.966162,1058.120658,1.304172,0.738719,0.43334,370.350514
2458107.572,-0.06605111069,0.9979205592,0.005908800915,1,1.018126477,423.954087,291.973213,1737.796698,0.791033,0.717134,-0.785398,365.750201
2458107.574,-0.06508188698,1.001513935,0.005908839291,1,1.018695636,423.94719,292.963257,1642.643165,0.826648,0.737395,0.785398,363.578057
2458107.576,-0.06411343822,0.9931332304,0.00590887626,1,1.019244239,421.956454,290.97083,1371.853777,1.028352,0.689893,0.332834,361.852306
2458107.578,-0.0631451833,0.9983934697,0.005908912181,1,1.019777558,419.956361,293.961144,1495.49839,0.904317,0.73077,0.531616,361.20645
2458107.58,-0.06217633104,0.9911212753,0.00590894693,1,1.02029374,418.960023,296.961925,1478.015125,0.8979,0.750574,0.369766,360.68913
2458107.582,-0.06120773694,0.9991364718,0.005908980543,1,1.0207933,419.943134,294.963658,1695.759103,0.872144,0.674061,0.417795,360.099706
2458107.584,-0.06023928276,0.9934010962,0.005909012985,1,1.021275675,418.952534,298.966968,1617.476929,0.907068,0.677666,-0.431821,359.808616
2458107.586,-0.05926537062,1.000179595,0.005909044502,1,1.021744522,416.957198,298.968864,1345.279941,1.103699,0.646143,0.152837,359.547494
2458107.588,-0.05829666889,0.995205838,0.005909074642,1,1.022193088,415.962457,300.96332,1489.267525,0.920795,0.733807,0.483243,360.150155
2458107.59,-0.05732828488,1.005479585,0.005909103793,1,1.022627106,414.967135,301.969168,2017.123175,0.763606,0.639919,-0.532206,359.480984
2458107.592,-0.05635992254,1.003455803,0.005909131789,1,1.023044113,411.952285,299.960491,1488.721439,1.041445,0.658394,0.299481,359.184626
2458107.595,-0.05539154373,1.000820595,0.005909158738,1,1.023445664,408.957834,307.958731,2197.342157,0.606534,0.7207,0.398274,360.167982
2458107.597,-0.05442315453,0.9893693678,0.005909184612,1,1.023831363,413.943851,307.966786,1266.340121,1.187075,0.659564,0.31693,359.070244
2458107.599,-0.05345493729,0.9880001006,0.005909209452,1,1.02420178,411.954602,308.971395,1283.078536,0.950367,0.812234,0.391047,358.93645
2458107.601,-0.05248667198,0.9979269872,0.00590923312,1,1.024554831,409.960887,311.967183,1910.4644,0.802296,0.640252,-0.454948,359.157567
2458107.603,-0.05151860007,0.9959321332,0.00590925595,1,1.024895507,405.965612,309.966378,1612.057914,0.844591,0.724155,0.647498,358.975175
2458107.605,-0.050544984,0.989566623,0.005909277857,1,1.025222518,404.943974,304.960632,1385.581293,1.026,0.704129,0.233211,359.088679
2458107.607,-0.04957689066,1.002194588,0.005909298601,1,1.025532258,403.948381,311.971866,1573.688873,0.954858,0.669931,0.192047,358.477519
2458107.609,-0.04860860888,1.002278525,0.005909318393,1,1.025827868,399.949713,313.958073,1924.547078,0.766736,0.650731,0.142638,359.300268
2458107.611,-0.04764012286,0.9999741888,0.005909337218,1,1.026109114,401.946673,317.967647,1707.661094,0.818314,0.716399,-0.785398,358.739936
2458107.613,-0.04667103928,0.9969020808,0.005909355013,1,1.026375039,398.958668,316.970785,1718.245212,0.802701,0.713639,0.608625,357.765644
2458107.615,-0.04570245082,1.006251138,0.005909371872,1,1.026627041,399.955463,317.970227,1503.693972,1.078072,0.616858,-0.132204,357.482728
2458107.617,-0.04473377616,1.004184369,0.005909387784,1,1.026864953,397.945324,319.963816,1419.185479,1.055092,0.66897,0.201942,357.698693
2458107.619,-0.04376524163,1.001913082,0.005909402742,1,1.02708864,395.946298,321.969035,2109.792295,0.732167,0.630538,0.465942,357.437986
2458107.622,-0.04279706251,1.003082007,0.005909416691,1,1.027297286,392.951919,316.961874,2016.50373,0.785537,0.61959,0.029029,357.561488
2458107.624,-0.04182908786,1.000406035,0.005909429768,1,1.027492924,389.953779,318.970409,2246.554656,0.644349,0.678493,-0.304527,356.871372
2458107.626,-0.04086095704,0.9974405788,0.005909441963,1,1.027675401,384.954787,321.956177,1252.81519,1.2061,0.64516,0.242283,357.263744
2458107.628,-0.03988742154,1.002064086,0.005909453223,1,1.02784391,386.948378,324.976033,1875.533638,0.855136,0.622668,0.16651,356.092477
2458107.63,-0.03891886557,1.001860952,0.005909463541,1,1.027998357,383.942706,319.971888,1822.698328,0.769341,0.716895,0.456973,356.105145
2458107.632,-0.03795048199,1.010748346,0.005909472955,1,1.028139295,379.949412,320.958255,2049.506119,0.715762,0.664825,-0.214516,356.55915
2458107.634,-0.03698207135,1.005004454,0.005909481415,1,1.02826595,375.950005,323.966185,1342.94337,1.107,0.691234,0.560513,356.004493
2458107.636,-0.03601349372,1.000208422,0.005909488996,1,1.028379469,372.957723,326.954933,1459.085044,1.007717,0.655613,0.352186,356.644846
2458107.638,-0.03504472246,1.015646161,0.005909495687,1,1.028479665,374.94376,328.960434,2088.840056,0.758562,0.631064,0.090032,355.924265
2458107.64,-0.03407646255,1.003643537,0.005909501432,1,1.028565708,370.967122,322.963675,2335.935146,0.699742,0.602408,-0.112228,355.830169
2458107.642,-0.03310805169,0.9953397969,0.00590950634,1,1.02863922,367.946454,326.96639,1837.130365,0.851874,0.64219,0.220166,355.202651
2458107.644,-0.03213990507,1.009576886,0.005909510309,1,1.028698675,368.951459,327.958062,2270.502066,0.696027,0.610581,-0.785398,355.37483
2458107.647,-0.03117160206,0.9981820303,0.005909513399,1,1.028744965,366.957374,329.955907,1435.320613,1.110462,0.607264,0.222781,355.547652
2458107.649,-0.0301975825,0.9989518468,0.005909515625,0.999938587,1.028778305,364.957439,331.975115,1267.265973,1.264192,0.647505,0.214506,353.796298
2458107.651,-0.02922970487,1.002309003,0.005909516915,0.9989233238,1.02879764,365.947661,326.959897,2075.494003,0.771921,0.608234,0.042505,355.070216
2458107.653,-0.02826091758,1.005526784,0.005909517358,0.9971288585,1.028804276,356.931178,327.957302,2000.889684,0.775073,0.635938,0.101177,355.480821
2458107.655,-0.02729293773,1.000639275,0.005909516875,0.994776831,1.028797037,358.948056,329.952005,2289.837152,0.693977,0.603997,0.11478,354.694873
2458107.657,-0.02632427952,0.9919697377,0.005909515544,0.9920083983,1.028777095,357.94605,330.970485,1487.399892,1.016804,0.629697,0.266317,354.267001
2458107.659,-0.02535538459,0.9867738139,0.005909513277,0.9889571731,1.028743143,354.95479,332.959295,1288.884943,1.20319,0.627357,0.285838,354.191814
2458107.661,-0.02438734539,0.9829422646,0.005909510146,0.9857726756,1.028696232,356.957723,334.962429,1815.152933,0.789179,0.66966,-0.392035,353.75266
2458107.663,-0.02341873051,0.9804268347,0.005909506134,0.982632174,1.028636144,353.942981,327.967128,1734.609059,0.799562,0.712916,-0.013534,352.984247
2458107.665,-0.02245078292,0.9717272999,0.005909501183,0.9798169094,1.028561984,349.953553,333.961095,1590.654522,0.891556,0.679251,0.113226,353.662235
2458107.667,-0.02147764616,0.9755057577,0.005909495352,0.9780090358,1.02847465,349.951303,335.961499,995.558591,1.515375,0.674116,0.181246,353.114473
2458107.669,-0.02050963945,0.9821062764,0.005909488615,0.9768679878,1.028373763,347.9487,335.956384,1583.014756,0.937422,0.65156,-0.021917,353.884496
2458107.672,-0.01954198815,0.9751813136,0.005909480986,0.9759147853,1.02825953,338.95794,336.956671,2024.421911,0.714762,0.654848,-0.090909,353.579859
2458107.674,-0.01857402974,0.9780068071,0.005909472521,0.9750908917,1.028132786,336.954859,339.952257,1510.948865,0.911964,0.718173,0.218448,353.96468
2458107.676,-0.01760595848,0.978721066,0.005909463055,0.9743679744,1.027991089,335.947431,340.960442,1401.776066,1.100143,0.64978,0.159182,353.329863
2458107.678,-0.01663247735,0.973488378,0.00590945264,0.9737248774,1.027835183,334.958905,334.956964,1708.898664,0.859314,0.645871,0.212117,353.439773
2458107.68,-0.01566806661,0.9709088208,0.005909441416,0.9731582391,1.027667208,331.959738,336.956662,1451.890189,1.069931,0.639477,0.123171,353.422863
2458107.682,-0.0146948653,0.9743242826,0.005909429164,0.9726481665,1.027483889,328.969145,337.969525,1879.058749,0.792061,0.641824,-0.285233,352.58628
2458107.684,-0.01372705785,0.9684542032,0.005909416029,0.9721951884,1.027287374,328.94917,337.951303,1639.260932,0.953799,0.617583,0.086974,352.802426
2458107.686,-0.01275933638,0.9675569293,0.00590940197,0.9717905934,1.027077092,326.956207,339.970097,1276.995718,1.12714,0.68334,0.147198,351.607632
2458107.688,-0.01179125451,0.9689015608,0.005909387046,0.9714295172,1.026853909,323.962064,339.970758,1359.837115,1.032785,0.695936,0.076412,350.994397
2458107.69,-0.01082316723,0.9729927663,0.005909371068,0.9711082261,1.026615017,321.962181,342.961128,1623.361415,0.878511,0.680291,0.048758,351.404746
2458107.692,-0.009854832388,0.972570045,0.005909354191,0.9708233989,1.026362761,313.959661,343.967818,1691.690638,0.814824,0.696448,-0.051678,351.277514
2458107.694,-0.008881179067,0.9734148556,0.005909336169,0.9705710917,1.026093433,313.946908,336.971403,1887.50466,0.777734,0.661018,-0.14371,351.311751
2458107.697,-0.007913377028,0.9688308056,0.00590931732,0.9703518499,1.02581184,308.958146,336.964728,1429.797131,0.943378,0.721781,0.112122,351.224511
2458107.699,-0.00694560726,0.9735896919,0.005909297504,0.9701621166,1.02551587,310.954949,337.963014,1047.562697,1.34045,0.723466,-0.001277,351.145293
2458107.701,-0.005977837709,0.9628178325,0.005909276791,0.9700002487,1.025206597,309.938622,336.9569,1390.296226,0.988953,0.695131,0.101195,351.607442
2458107.703,-0.005010154143,0.9756679418,0.005909254973,0.9698648957,1.024880933,305.965223,338.969528,1792.95709,0.758922,0.704238,-0.085252,350.489935
