# FINAL TIMESERIES OF HAT-P-36 b,,,,,
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2461017.847,-0.04816228471,1.026499645,0.01632388305,1,0.8229304635
2461017.849,-0.04658977888,1.0171217,0.01632432843,1,0.8298856829
2461017.851,-0.04501693276,1.005393345,0.01632475075,1,0.8365347652
2461017.854,-0.04344446166,0.9850941824,0.01632515336,1,0.842922992
2461017.856,-0.04188075443,0.978265034,0.016325536,1,0.8490393332
2461017.858,-0.03984885186,1.017446906,0.01632600325,1,0.8565682698
2461017.861,-0.03809851166,1.00584297,0.01632638804,1,0.8628185512
2461017.864,-0.03563136744,1.00173878,0.01632689264,0.9995906907,0.871083755
2461017.867,-0.03336103246,0.968610499,0.01632732976,0.9968932061,0.8783073182
2461017.868,-0.03245327055,0.9956858187,0.01632749621,0.9954117283,0.8810736572
2461017.869,-0.0315456651,0.9775701789,0.01632765884,0.9938106943,0.8837849567
2461017.871,-0.03063761482,0.9794891216,0.01632781778,0.9921734077,0.8864427017
2461017.872,-0.02932562068,0.9907950943,0.01632804108,0.9899938504,0.8901901225
2461017.874,-0.02774489126,0.9634824034,0.01632829754,0.9885418909,0.8945135518
2461017.876,-0.02618046028,0.9565897786,0.01632854347,0.9876066929,0.8986792276
2461017.879,-0.0246150442,0.9976667849,0.01632878043,0.9868396295,0.9027111033
2461017.881,-0.023033704,0.9955187048,0.01632900752,0.9861835188,0.9065919174
2461017.883,-0.0214784905,0.9986944414,0.01632922617,0.9856282915,0.9103443704
2461017.885,-0.01990628988,0.9922951545,0.01632943683,0.9851411168,0.9139742521
2461017.887,-0.01833459481,0.9837295518,0.0163296395,0.9847170487,0.9174801506
2461017.889,-0.0167535514,0.9934423991,0.01632983575,0.9843453721,0.9208877633
2461017.891,-0.01519863469,0.9767095032,0.01633002293,0.9840271662,0.9241494368
2461017.893,-0.01362651196,0.9752777398,0.01633020441,0.9837481072,0.9273230271
2461017.895,-0.01205446852,0.9668666419,0.01633037942,0.983507925,0.9303935636
2461017.897,-0.0104907876,1.001329307,0.01633054859,0.9833043435,0.9333713778
2461017.899,-0.008909735417,0.9799231433,0.01633071156,0.9831316734,0.9362490874
2461017.901,-0.007345540192,0.9950905226,0.01633086926,0.9829915708,0.9390420782
2461017.904,-0.005771978745,0.9767369053,0.01633102191,0.9828797926,0.9417536497
2461017.906,-0.004208516035,1.018313825,0.01633116918,0.9827964098,0.9443768697
2461017.908,-0.002635268574,0.9941606718,0.01633131159,0.9827395299,0.9469205423
2461017.91,-0.001070759364,0.997646154,0.01633144962,0.9827091215,0.9493926216
2461017.912,0.0005030283622,0.985692124,0.01633158321,0.9827044474,0.9517911609
2461017.914,0.002067607736,0.9916099278,0.0163317123,0.9827255172,0.9541146533
2461017.916,0.003639468402,0.9716579026,0.01633183757,0.9827726997,0.9563748441
2461017.918,0.00521224436,1.010434028,0.01633195871,0.9828468368,0.9585656281
2461017.92,0.00677844558,0.9808489986,0.01633207636,0.9829480032,0.960697924
2461017.922,0.00835231189,0.9716094262,0.01633219042,0.9830783522,0.9627697982
2461017.924,0.009917632548,0.9553516715,0.01633230084,0.9832380393,0.9647796923
2461017.926,0.01148992893,0.9912507997,0.01633240797,0.9834305442,0.9667337449
2461017.929,0.0130615977,0.9861780753,0.01633251252,0.9836575606,0.968644678
2461017.931,0.01462562734,1.00257214,0.01633261287,0.9839207946,0.9704822453
2461017.933,0.01619867378,0.9951500703,0.01633271088,0.9842268356,0.9722804134
2461017.935,0.01776265149,0.9749379195,0.01633280538,0.9845767981,0.9740171014
2461017.937,0.01933454689,0.9762371731,0.01633289824,0.9849803434,0.9757268677
2461017.939,0.02090758456,0.9833457785,0.01633298797,0.9854438712,0.9773818162
2461017.941,0.02247102131,0.9755767168,0.01633307455,0.985973952,0.9789812378
2461017.943,0.02404412003,0.9785894867,0.01633315969,0.9865916365,0.9805567529
2461017.945,0.02561632064,0.9744951979,0.01633324187,0.9873157855,0.9820798362
2461017.947,0.02718810272,0.9851792185,0.01633332182,0.9881863145,0.9835637786
2461017.949,0.02875147843,1.007473853,0.01633339917,0.9893051132,0.9850017426
2461017.951,0.03032424631,0.9842944695,0.01633347517,0.9916286133,0.9864164556
2461017.954,0.03188929649,1.005641915,0.01633354872,0.9944375564,0.9877876142
2461017.956,0.03346283127,1.016697598,0.0163336202,0.9970605803,0.9891218633
2461017.958,0.03504431847,0.9772095371,0.01633368967,0.9990857174,0.9904204172
2461017.96,0.03660304615,0.9955368218,0.0163337572,1,0.9916844345
2461017.962,0.03848974631,0.9617651072,0.01633383634,1,0.9931676632
2461017.965,0.04067603402,0.9769484703,0.01633392383,1,0.9948100455
2461017.967,0.04224919378,1.017198516,0.01633398551,1,0.9959693785
2461017.97,0.04452305977,0.9721461761,0.01633407144,1,0.997587128
2461017.971,0.04542226726,0.9997186322,0.01633410438,1,0.9982078714
2461017.973,0.04633009057,1.015090716,0.01633413724,1,0.9988273546
2461017.974,0.04758926543,1.003816151,0.0163341821,1,0.9996739766
2461017.976,0.04916122152,1.009100057,0.01633423637,1,1.000699031
2461017.981,0.05229752158,1.014001173,0.01633434081,1,1.002674771
2461017.985,0.05543398688,1.004173883,0.01633443972,1,1.004549296
2461017.987,0.05700688457,1.024416296,0.01633448719,1,1.005450185
2461017.989,0.05858781431,0.9844278442,0.01633453341,1,1.006328278
2461017.991,0.06015146015,0.9949268365,0.01633457835,1,1.007182594
2461017.993,0.06171537577,1.000727465,0.0163346222,1,1.008016928
2461017.997,0.06486032638,0.9934879136,0.01633470619,1,1.009617108
2461017.999,0.06642368419,1.008660369,0.01633474657,1,1.010387167
2461018.001,0.0679953698,1.00039248,0.01633478582,1,1.01113647
2461018.004,0.06957733692,1.006154917,0.01633482421,1,1.011869677
2461018.006,0.07113299491,1.005462833,0.01633486111,1,1.012575094
2461018.008,0.07270742745,0.9838079396,0.0163348972,1,1.013265501
2461018.01,0.0742711866,1.004762818,0.01633493237,1,1.013938586
