#,"#x_centroid,","y_centroid,","amplitude,","sigma_x,","sigma_y,",rotation,offset
422.992248,167.986428,284.3192,0.873905,1.23346,-0.689135,605.697563,
422.995043,160.985949,365.513092,0.749711,1.079124,-0.30255,602.375624,
422.988314,171.982258,411.011477,0.80298,0.904349,-0.106751,597.520992,
423.990748,170.985589,385.154198,0.709917,1.108949,-0.497898,592.996703,
427.992882,171.991334,289.617534,1.6473,0.680018,0.504993,590.837211,
427.989235,178.985488,539.341181,0.63169,0.869557,-0.517864,585.112716,
427.990554,173.98954,502.919706,0.624062,0.990538,-0.593528,580.745717,
432.993845,178.989174,489.710906,0.574463,1.113628,-0.623676,574.591642,
432.987369,178.982294,395.547353,1.161588,0.715093,0.741864,569.514677,
433.995265,182.987626,352.983549,0.689669,1.321519,-0.785398,567.981911,
434.996099,186.985997,523.347238,0.634908,0.944151,-0.756765,566.4171,
435.996817,183.989904,520.952763,0.70491,0.870475,-0.409413,565.719491,
431.996272,187.985491,432.684819,1.160285,0.638155,0.75862,562.572328,
433.993036,187.981478,465.299144,0.559025,1.206311,-0.638219,559.92037,
437.997059,195.985754,423.492988,1.177452,0.665493,0.659089,557.181028,
437.995495,193.984267,410.646695,0.658338,1.224651,-0.785398,554.482602,
437.999239,192.98534,493.536964,0.655916,1.035994,-0.65214,551.455566,
439.999819,199.989345,533.739898,0.557481,1.065736,-0.706335,548.531271,
442.998774,199.986563,415.969772,0.60599,1.395159,-0.785398,545.137686,
443.998754,198.986591,571.12116,0.683331,0.850967,-0.459521,543.143852,
442.993207,204.983526,577.373708,0.571374,0.984239,-0.515218,541.99332,
445.997812,203.988511,579.762138,0.600338,0.935237,-0.647143,538.658351,
449.999738,209.98671,487.926364,1.120384,0.618779,0.63187,537.5636,
447.998354,208.987798,504.503874,0.661308,0.975127,-0.585441,534.130947,
446.997863,215.990343,649.059249,0.614188,0.814896,-0.785398,532.144485,
448.998128,214.987589,375.241136,1.42408,0.620241,0.496614,529.891259,
449.001952,217.989713,356.223624,1.480258,0.636127,0.431192,527.155487,
449.002582,218.985696,486.973522,0.722812,0.972847,-0.132348,524.583159,
447.995221,225.985197,436.413818,1.353189,0.586386,0.626839,520.933603,
450.997407,220.990131,658.114257,0.836189,0.600277,0.667223,518.403061,
452.990925,224.981889,388.420937,0.736637,1.279787,-0.785398,516.443526,
450.999054,230.986414,458.500919,0.982736,0.742724,0.62871,513.642314,
453.99664,231.985319,567.628274,0.624161,0.962481,-0.785398,512.84333,
455.995316,234.986704,404.185219,1.575756,0.539978,0.4404,511.398699,
453.993929,233.982086,390.088904,1.494335,0.629823,0.538062,509.537149,
453.995877,238.983471,598.624682,0.585883,0.976387,-0.312607,507.387904,
450.9972,237.987802,481.247617,1.328137,0.536745,0.49635,505.324102,
457.993252,245.984161,571.232784,1.032725,0.536085,0.630972,503.883432,
458.99726,240.985409,573.237078,0.987396,0.608945,0.71339,501.252217,
455.996229,248.985546,487.323877,1.167469,0.595895,0.559008,499.51388,
458.993145,247.982055,534.726272,0.595083,1.117023,-0.773008,497.708306,
458.999476,250.984878,326.30758,0.755962,1.483475,-0.785398,495.808265,
457.997208,251.987041,544.16315,1.024807,0.621751,0.651343,494.521792,
459.99476,254.986407,548.421684,0.895241,0.711371,0.627663,493.554146,
460.994371,253.982963,450.313915,0.667111,1.190138,-0.785398,493.077607,
460.997767,257.9857,539.330917,0.964989,0.632755,0.737478,491.44105,
462.997588,254.984041,448.012258,1.237299,0.645327,0.579547,489.476975,
463.997998,260.990978,470.939647,0.638947,1.127649,-0.785398,488.892837,
463.998729,259.983006,478.804519,0.69938,1.055882,-0.671508,487.242866,
463.992301,266.97883,398.433224,0.63892,1.40563,-0.785398,486.139135,
463.001757,262.986384,383.430177,1.518628,0.639048,0.344009,484.910462,
462.001387,268.983192,472.317054,0.619029,1.27444,-0.785398,484.308817,
463.99958,264.984935,570.092179,1.005093,0.61417,0.505773,483.141245,
464.001819,270.982131,483.084519,1.049,0.697966,0.486635,482.132818,
462.999632,268.98569,538.952888,1.109631,0.583467,0.521302,480.849759,
460.999197,275.986793,530.332052,1.043145,0.628077,0.575142,478.677287,
463.996326,274.985854,487.611089,1.206246,0.648103,0.545685,477.569038,
460.001336,281.985335,540.461471,1.012241,0.650483,0.414231,475.998981,
461.999589,279.984257,653.607561,0.560179,0.963232,-0.785398,473.872047,
461.999368,283.983412,412.817352,1.497631,0.626669,0.285479,473.606327,
461.999834,284.984272,365.551629,0.787036,1.317235,-0.785398,472.699116,
461.999976,281.984363,780.27216,0.765817,0.580892,0.628574,472.469328,
460.000755,286.983514,554.011793,1.212385,0.539016,0.452161,471.607007,
460.999703,289.988539,564.149765,1.235156,0.521994,0.479168,470.181679,
458.001004,288.990626,479.345887,1.414389,0.557417,0.338147,468.079842,
460.994805,293.985266,703.223548,0.879961,0.574078,0.554344,467.203824,
455.99913,297.984588,531.529017,0.563362,1.164569,-0.785398,466.563895,
457.996048,300.981529,579.812201,1.084829,0.555008,0.426191,465.579713,
457.002248,298.98006,557.629638,1.13253,0.577906,0.652263,464.570076,
451.001203,300.982106,681.103345,0.966268,0.525887,0.422923,463.011318,
449.999384,305.978613,559.466912,1.04775,0.614357,0.476757,461.958533,
449.999174,297.987725,601.28044,1.093085,0.571454,0.366095,461.152416,
451.002362,301.982886,652.27614,1.015832,0.556438,0.472399,460.170484,
451.000257,306.983191,403.386519,1.528546,0.601846,0.289019,459.468591,
448.999664,301.984029,478.020985,1.361901,0.581861,0.311437,458.61319,
445.998074,306.981867,789.607746,0.693484,0.653623,0.584601,457.426765,
