BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass,x_centroid,y_centroid,amplitude,sigma_x,sigma_y,rotation,offset
2461017.847,-0.04816228471,1.026499645,0.01632388305,1,0.8229304635,422.992248,167.986428,284.3192,0.873905,1.23346,-0.689135,605.697563
2461017.849,-0.04658977888,1.0171217,0.01632432843,1,0.8298856829,422.995043,160.985949,365.513092,0.749711,1.079124,-0.30255,602.375624
2461017.851,-0.04501693276,1.005393345,0.01632475075,1,0.8365347652,422.988314,171.982258,411.011477,0.80298,0.904349,-0.106751,597.520992
2461017.854,-0.04344446166,0.9850941824,0.01632515336,1,0.842922992,423.990748,170.985589,385.154198,0.709917,1.108949,-0.497898,592.996703
2461017.856,-0.04188075443,0.978265034,0.016325536,1,0.8490393332,427.992882,171.991334,289.617534,1.6473,0.680018,0.504993,590.837211
2461017.858,-0.03984885186,1.017446906,0.01632600325,1,0.8565682698,427.989235,178.985488,539.341181,0.63169,0.869557,-0.517864,585.112716
2461017.861,-0.03809851166,1.00584297,0.01632638804,1,0.8628185512,427.990554,173.98954,502.919706,0.624062,0.990538,-0.593528,580.745717
2461017.864,-0.03563136744,1.00173878,0.01632689264,0.9995906907,0.871083755,432.993845,178.989174,489.710906,0.574463,1.113628,-0.623676,574.591642
2461017.867,-0.03336103246,0.968610499,0.01632732976,0.9968932061,0.8783073182,432.987369,178.982294,395.547353,1.161588,0.715093,0.741864,569.514677
2461017.868,-0.03245327055,0.9956858187,0.01632749621,0.9954117283,0.8810736572,433.995265,182.987626,352.983549,0.689669,1.321519,-0.785398,567.981911
2461017.869,-0.0315456651,0.9775701789,0.01632765884,0.9938106943,0.8837849567,434.996099,186.985997,523.347238,0.634908,0.944151,-0.756765,566.4171
2461017.871,-0.03063761482,0.9794891216,0.01632781778,0.9921734077,0.8864427017,435.996817,183.989904,520.952763,0.70491,0.870475,-0.409413,565.719491
2461017.872,-0.02932562068,0.9907950943,0.01632804108,0.9899938504,0.8901901225,431.996272,187.985491,432.684819,1.160285,0.638155,0.75862,562.572328
2461017.874,-0.02774489126,0.9634824034,0.01632829754,0.9885418909,0.8945135518,433.993036,187.981478,465.299144,0.559025,1.206311,-0.638219,559.92037
2461017.876,-0.02618046028,0.9565897786,0.01632854347,0.9876066929,0.8986792276,437.997059,195.985754,423.492988,1.177452,0.665493,0.659089,557.181028
2461017.879,-0.0246150442,0.9976667849,0.01632878043,0.9868396295,0.9027111033,437.995495,193.984267,410.646695,0.658338,1.224651,-0.785398,554.482602
2461017.881,-0.023033704,0.9955187048,0.01632900752,0.9861835188,0.9065919174,437.999239,192.98534,493.536964,0.655916,1.035994,-0.65214,551.455566
2461017.883,-0.0214784905,0.9986944414,0.01632922617,0.9856282915,0.9103443704,439.999819,199.989345,533.739898,0.557481,1.065736,-0.706335,548.531271
2461017.885,-0.01990628988,0.9922951545,0.01632943683,0.9851411168,0.9139742521,442.998774,199.986563,415.969772,0.60599,1.395159,-0.785398,545.137686
2461017.887,-0.01833459481,0.9837295518,0.0163296395,0.9847170487,0.9174801506,443.998754,198.986591,571.12116,0.683331,0.850967,-0.459521,543.143852
2461017.889,-0.0167535514,0.9934423991,0.01632983575,0.9843453721,0.9208877633,442.993207,204.983526,577.373708,0.571374,0.984239,-0.515218,541.99332
2461017.891,-0.01519863469,0.9767095032,0.01633002293,0.9840271662,0.9241494368,445.997812,203.988511,579.762138,0.600338,0.935237,-0.647143,538.658351
2461017.893,-0.01362651196,0.9752777398,0.01633020441,0.9837481072,0.9273230271,449.999738,209.98671,487.926364,1.120384,0.618779,0.63187,537.5636
2461017.895,-0.01205446852,0.9668666419,0.01633037942,0.983507925,0.9303935636,447.998354,208.987798,504.503874,0.661308,0.975127,-0.585441,534.130947
2461017.897,-0.0104907876,1.001329307,0.01633054859,0.9833043435,0.9333713778,446.997863,215.990343,649.059249,0.614188,0.814896,-0.785398,532.144485
2461017.899,-0.008909735417,0.9799231433,0.01633071156,0.9831316734,0.9362490874,448.998128,214.987589,375.241136,1.42408,0.620241,0.496614,529.891259
2461017.901,-0.007345540192,0.9950905226,0.01633086926,0.9829915708,0.9390420782,449.001952,217.989713,356.223624,1.480258,0.636127,0.431192,527.155487
2461017.904,-0.005771978745,0.9767369053,0.01633102191,0.9828797926,0.9417536497,449.002582,218.985696,486.973522,0.722812,0.972847,-0.132348,524.583159
2461017.906,-0.004208516035,1.018313825,0.01633116918,0.9827964098,0.9443768697,447.995221,225.985197,436.413818,1.353189,0.586386,0.626839,520.933603
2461017.908,-0.002635268574,0.9941606718,0.01633131159,0.9827395299,0.9469205423,450.997407,220.990131,658.114257,0.836189,0.600277,0.667223,518.403061
2461017.91,-0.001070759364,0.997646154,0.01633144962,0.9827091215,0.9493926216,452.990925,224.981889,388.420937,0.736637,1.279787,-0.785398,516.443526
2461017.912,0.0005030283622,0.985692124,0.01633158321,0.9827044474,0.9517911609,450.999054,230.986414,458.500919,0.982736,0.742724,0.62871,513.642314
2461017.914,0.002067607736,0.9916099278,0.0163317123,0.9827255172,0.9541146533,453.99664,231.985319,567.628274,0.624161,0.962481,-0.785398,512.84333
2461017.916,0.003639468402,0.9716579026,0.01633183757,0.9827726997,0.9563748441,455.995316,234.986704,404.185219,1.575756,0.539978,0.4404,511.398699
2461017.918,0.00521224436,1.010434028,0.01633195871,0.9828468368,0.9585656281,453.993929,233.982086,390.088904,1.494335,0.629823,0.538062,509.537149
2461017.92,0.00677844558,0.9808489986,0.01633207636,0.9829480032,0.960697924,453.995877,238.983471,598.624682,0.585883,0.976387,-0.312607,507.387904
2461017.922,0.00835231189,0.9716094262,0.01633219042,0.9830783522,0.9627697982,450.9972,237.987802,481.247617,1.328137,0.536745,0.49635,505.324102
2461017.924,0.009917632548,0.9553516715,0.01633230084,0.9832380393,0.9647796923,457.993252,245.984161,571.232784,1.032725,0.536085,0.630972,503.883432
2461017.926,0.01148992893,0.9912507997,0.01633240797,0.9834305442,0.9667337449,458.99726,240.985409,573.237078,0.987396,0.608945,0.71339,501.252217
2461017.929,0.0130615977,0.9861780753,0.01633251252,0.9836575606,0.968644678,455.996229,248.985546,487.323877,1.167469,0.595895,0.559008,499.51388
2461017.931,0.01462562734,1.00257214,0.01633261287,0.9839207946,0.9704822453,458.993145,247.982055,534.726272,0.595083,1.117023,-0.773008,497.708306
2461017.933,0.01619867378,0.9951500703,0.01633271088,0.9842268356,0.9722804134,458.999476,250.984878,326.30758,0.755962,1.483475,-0.785398,495.808265
2461017.935,0.01776265149,0.9749379195,0.01633280538,0.9845767981,0.9740171014,457.997208,251.987041,544.16315,1.024807,0.621751,0.651343,494.521792
2461017.937,0.01933454689,0.9762371731,0.01633289824,0.9849803434,0.9757268677,459.99476,254.986407,548.421684,0.895241,0.711371,0.627663,493.554146
2461017.939,0.02090758456,0.9833457785,0.01633298797,0.9854438712,0.9773818162,460.994371,253.982963,450.313915,0.667111,1.190138,-0.785398,493.077607
2461017.941,0.02247102131,0.9755767168,0.01633307455,0.985973952,0.9789812378,460.997767,257.9857,539.330917,0.964989,0.632755,0.737478,491.44105
2461017.943,0.02404412003,0.9785894867,0.01633315969,0.9865916365,0.9805567529,462.997588,254.984041,448.012258,1.237299,0.645327,0.579547,489.476975
2461017.945,0.02561632064,0.9744951979,0.01633324187,0.9873157855,0.9820798362,463.997998,260.990978,470.939647,0.638947,1.127649,-0.785398,488.892837
2461017.947,0.02718810272,0.9851792185,0.01633332182,0.9881863145,0.9835637786,463.998729,259.983006,478.804519,0.69938,1.055882,-0.671508,487.242866
2461017.949,0.02875147843,1.007473853,0.01633339917,0.9893051132,0.9850017426,463.992301,266.97883,398.433224,0.63892,1.40563,-0.785398,486.139135
2461017.951,0.03032424631,0.9842944695,0.01633347517,0.9916286133,0.9864164556,463.001757,262.986384,383.430177,1.518628,0.639048,0.344009,484.910462
2461017.954,0.03188929649,1.005641915,0.01633354872,0.9944375564,0.9877876142,462.001387,268.983192,472.317054,0.619029,1.27444,-0.785398,484.308817
2461017.956,0.03346283127,1.016697598,0.0163336202,0.9970605803,0.9891218633,463.99958,264.984935,570.092179,1.005093,0.61417,0.505773,483.141245
2461017.958,0.03504431847,0.9772095371,0.01633368967,0.9990857174,0.9904204172,464.001819,270.982131,483.084519,1.049,0.697966,0.486635,482.132818
2461017.96,0.03660304615,0.9955368218,0.0163337572,1,0.9916844345,462.999632,268.98569,538.952888,1.109631,0.583467,0.521302,480.849759
2461017.962,0.03848974631,0.9617651072,0.01633383634,1,0.9931676632,460.999197,275.986793,530.332052,1.043145,0.628077,0.575142,478.677287
2461017.965,0.04067603402,0.9769484703,0.01633392383,1,0.9948100455,463.996326,274.985854,487.611089,1.206246,0.648103,0.545685,477.569038
2461017.967,0.04224919378,1.017198516,0.01633398551,1,0.9959693785,460.001336,281.985335,540.461471,1.012241,0.650483,0.414231,475.998981
2461017.97,0.04452305977,0.9721461761,0.01633407144,1,0.997587128,461.999589,279.984257,653.607561,0.560179,0.963232,-0.785398,473.872047
2461017.971,0.04542226726,0.9997186322,0.01633410438,1,0.9982078714,461.999368,283.983412,412.817352,1.497631,0.626669,0.285479,473.606327
2461017.973,0.04633009057,1.015090716,0.01633413724,1,0.9988273546,461.999834,284.984272,365.551629,0.787036,1.317235,-0.785398,472.699116
2461017.974,0.04758926543,1.003816151,0.0163341821,1,0.9996739766,461.999976,281.984363,780.27216,0.765817,0.580892,0.628574,472.469328
2461017.976,0.04916122152,1.009100057,0.01633423637,1,1.000699031,460.000755,286.983514,554.011793,1.212385,0.539016,0.452161,471.607007
2461017.981,0.05229752158,1.014001173,0.01633434081,1,1.002674771,460.999703,289.988539,564.149765,1.235156,0.521994,0.479168,470.181679
2461017.985,0.05543398688,1.004173883,0.01633443972,1,1.004549296,458.001004,288.990626,479.345887,1.414389,0.557417,0.338147,468.079842
2461017.987,0.05700688457,1.024416296,0.01633448719,1,1.005450185,460.994805,293.985266,703.223548,0.879961,0.574078,0.554344,467.203824
2461017.989,0.05858781431,0.9844278442,0.01633453341,1,1.006328278,455.99913,297.984588,531.529017,0.563362,1.164569,-0.785398,466.563895
