# FINAL TIMESERIES OF WASP-12 b,,,,,
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2461014.871,-0.05072903565,0.9975332669,0.03558754652,0.9986522583,1.010604329
2461014.873,-0.04881552772,1.025554157,0.03558726045,0.9973320793,1.010618314
2461014.875,-0.04690265637,0.9722109109,0.03558705109,0.9957893816,1.01062855
2461014.877,-0.04499929775,0.9938895513,0.03558691756,0.9941533162,1.010635078
2461014.879,-0.04308612944,1.003700876,0.03558686012,0.9925511895,1.010637887
2461014.881,-0.04118519936,0.9487891049,0.03558687881,0.9912368975,1.010636973
2461014.884,-0.03927226443,0.998551961,0.03558697319,0.9905634594,1.010632358
2461014.886,-0.03735970069,0.9851101373,0.03558714403,0.9900476704,1.010624006
2461014.888,-0.03544610786,1.001116407,0.03558739095,0.9896093601,1.010611934
2461014.89,-0.03354433001,0.9961035971,0.03558771379,0.9892300502,1.010596151
2461014.892,-0.03163244466,0.9865642009,0.03558811599,0.9888938953,1.010576489
2461014.894,-0.02973069838,0.9932035654,0.03558859038,0.9885971154,1.010553298
2461014.896,-0.02781894059,0.9984676064,0.0355891436,0.9883313138,1.010526255
2461014.898,-0.02589598435,1.014170227,0.03558977857,0.9880928762,1.010495216
2461014.9,-0.02399338945,1.000196019,0.03559048373,0.9878824363,1.010460749
2461014.902,-0.02209168541,0.9949896486,0.03559127047,0.9876949735,1.010422296
2461014.904,-0.02017913234,0.9924161751,0.03559213516,0.9875275071,1.010380037
2461014.906,-0.01827739673,0.9854918013,0.03559307973,0.9873802889,1.010333876
2461014.909,-0.01636365627,0.9578175198,0.03559410451,0.9872501883,1.010283799
2461014.911,-0.0144620798,1.005500547,0.03559520944,0.9871377011,1.010229811
2461014.913,-0.01254949516,1.010775104,0.03559639593,0.9870404781,1.010171841
2461014.915,-0.01063608366,1.01335764,0.03559766343,0.9869583824,1.01010992
2461014.917,-0.008733817707,1.01029628,0.03559901314,0.9868911516,1.010043989
2461014.919,-0.006818518674,0.9483382586,0.03560044863,0.9868374226,1.009973876
2461014.921,-0.004916581252,0.9591195157,0.03560196673,0.9867975224,1.009899736
2461014.923,-0.003003880559,1.017984536,0.03560356844,0.9867706128,1.009821522
2461014.925,-0.001091263917,0.9360799601,0.03560526026,0.9867567548,1.009738918
2461014.927,0.0008103334592,0.9852691276,0.03560703558,0.9867558109,1.009652249
