#,"#x_centroid,","y_centroid,","amplitude,","sigma_x,","sigma_y,",rotation,offset
427.976304,441.988476,1791.135998,1.257731,0.599519,0.004168,1342.376838,
424.9712,443.990963,2753.674469,0.771977,0.600618,-0.015086,1360.359983,
421.97725,443.9885,1629.040901,1.306532,0.638398,0.046545,1366.119381,
418.980006,443.987322,2600.248323,0.794104,0.627261,0.197044,1324.675872,
415.973766,444.990181,1672.402287,1.202261,0.624963,0.053955,1309.1694,
414.970301,445.98456,2085.628954,0.999116,0.639298,0.142338,1306.778067,
414.974052,444.989366,2162.501297,0.879625,0.702061,0.091144,1313.347571,
407.976491,445.99027,1275.003892,1.638728,0.684957,-0.063409,1311.79102,
408.978214,445.990583,3037.712212,0.694071,0.612533,0.242995,1314.68029,
403.981043,446.987558,2166.414073,0.94451,0.610743,0.006264,1307.356502,
400.980543,446.985959,2452.341016,0.858094,0.611623,0.017129,1294.767952,
398.978594,442.991424,1744.350395,1.204288,0.637554,-0.28181,1294.592011,
396.986014,445.983493,1833.622111,1.195648,0.618913,0.055153,1290.060619,
390.991348,445.985285,2158.529675,0.938408,0.602435,-0.036812,1290.03448,
390.989644,440.988825,2523.779409,0.811622,0.62665,-0.177686,1288.041822,
385.992628,445.98054,1766.710354,1.242363,0.623364,-0.067948,1291.972865,
383.982479,446.988109,1816.362465,1.135744,0.654328,-0.007069,1288.583941,
381.980007,445.98658,2214.211166,0.91285,0.650779,-0.011155,1287.360967,
377.978171,446.985273,1445.913363,1.313215,0.686102,-0.059145,1291.13744,
374.974566,444.994051,2386.487452,0.776288,0.710305,0.10933,1298.634421,
368.9796,444.986726,1498.381206,1.357372,0.67292,-0.090826,1293.67316,
367.979396,442.986317,2549.600739,0.789542,0.643062,0.046864,1289.673325,
366.976467,447.985784,1916.188294,1.040323,0.669608,-0.088976,1285.873928,
365.975524,450.984953,2074.440068,0.939182,0.706447,-0.173783,1283.830095,
363.978073,449.986642,1828.539264,1.150436,0.678103,-0.082035,1301.452202,
360.982664,448.991091,1962.715003,1.035466,0.661938,-0.29363,1296.100099,
358.979942,447.98722,1509.170825,1.346254,0.653865,-0.068633,1306.481775,
356.978299,450.983374,2050.057696,0.945217,0.689277,-0.123901,1318.83373,
351.980554,449.989153,2122.760479,0.927061,0.644662,-0.126371,1304.525251,
350.982886,447.985944,1633.749096,1.234085,0.664211,-0.21911,1305.090245,
346.981819,446.982889,2302.300773,0.798813,0.726504,-0.156098,1306.033715,
344.973503,439.986058,1470.366132,1.343476,0.707343,-0.233617,1300.78013,
341.972413,449.990272,2214.393983,0.848425,0.686969,-0.014405,1301.150501,
339.975806,442.989394,2022.86038,0.981528,0.670332,-0.187621,1298.217286,
336.978129,441.984805,1712.581625,0.661584,0.821803,0.785398,1303.494008,
333.977058,439.987982,2197.387878,0.88461,0.682095,-0.218096,1309.415142,
329.981747,443.986814,1476.511774,1.373695,0.6853,-0.127944,1306.137324,
331.978875,442.986383,2015.147268,0.996239,0.662335,-0.228796,1310.895211,
330.979192,442.986167,1776.89332,1.179409,0.672234,-0.161086,1300.663434,
326.983718,438.993163,1846.145198,1.176584,0.593958,-0.277091,1297.427391,
319.981228,441.989311,1755.949089,1.192042,0.645411,-0.101238,1295.747931,
319.984635,440.987121,2356.602913,0.861852,0.642383,-0.136676,1295.244741,
318.984522,436.994195,1869.712304,0.615919,0.807747,0.785398,1300.411036,
312.981479,435.988242,2090.938872,0.921083,0.697244,-0.251328,1300.12799,
310.982335,439.987763,1692.343106,1.358894,0.589532,-0.275961,1297.88253,
309.982841,435.989616,2059.465028,1.0469,0.614942,-0.22154,1300.219511,
311.982788,433.987884,1667.588547,1.224834,0.640525,-0.263809,1307.78973,
307.975957,442.993337,2183.377326,1.007443,0.574797,-0.394009,1303.490296,
307.977744,440.993874,1817.349713,1.248582,0.578203,-0.312274,1305.725529,
304.976993,431.984619,2277.728569,0.911237,0.64207,-0.353287,1309.963029,
297.984569,439.990525,2708.024994,0.733309,0.532852,-0.615603,1313.383717,
297.982538,435.993177,1433.048732,1.587343,0.602242,-0.270907,1313.040496,
298.976627,435.987447,1950.785165,1.020314,0.675786,-0.350196,1308.725309,
296.973779,437.994049,2313.633784,0.923333,0.604511,-0.428542,1308.13383,
295.976146,434.98554,1347.491512,0.829805,1.228659,0.785398,1314.064478,
290.982196,430.988055,2120.602996,1.03761,0.590096,-0.39996,1314.363169,
291.983341,434.988566,1458.689041,1.424069,0.638147,-0.232608,1313.458986,
289.982916,439.994299,3095.773504,0.549124,0.714282,0.732998,1317.839884,
286.980534,441.995384,1886.697661,1.100545,0.61427,-0.394498,1313.257873,
285.983128,438.989933,1966.488312,1.137158,0.593682,-0.322784,1317.360121,
287.981543,435.98575,2114.557359,1.049836,0.598827,-0.424401,1322.802783,
286.986018,438.989019,1768.547956,1.137555,0.654903,-0.297541,1322.876597,
285.98119,433.991697,2276.595536,0.814977,0.705517,-0.615756,1329.135282,
283.980715,436.990414,1306.371405,1.672275,0.632695,-0.275538,1330.992978,
282.978215,433.989135,2553.501927,0.673561,0.749589,0.785398,1328.153117,
280.977923,431.99336,1975.240132,0.649253,1.029835,0.785398,1333.989451,
277.978994,430.989713,2033.547941,0.652364,0.980907,0.785398,1335.707389,
280.981363,428.992577,2491.63379,0.897238,0.56736,-0.562623,1341.7096,
280.979778,431.988764,1025.69276,0.87557,1.506767,0.785398,1336.891511,
276.980941,428.988466,2560.288378,0.680673,0.735904,0.785398,1340.050153,
273.985124,426.995766,2467.825419,0.590356,0.842237,0.785398,1343.605477,
276.985042,428.995479,1483.808419,1.743664,0.5,-0.286324,1345.718241,
275.982118,424.988508,2408.759821,0.636819,0.821905,0.785398,1346.770981,
272.986666,425.988581,2440.78725,0.872579,0.602316,-0.657297,1349.93392,
270.978895,421.985063,1609.787391,0.633542,1.051129,0.785398,1351.627826,
273.983516,426.994118,2376.648191,0.825163,0.660523,-0.590413,1352.329397,
270.978156,422.988197,1406.963077,1.468633,0.657889,-0.283767,1357.310537,
269.975531,423.992602,2324.169603,0.876578,0.540584,-0.620885,1366.787686,
269.983154,419.987564,2410.284446,0.66627,0.782724,0.785398,1369.749711,
